position;dPos;Intensity;dInt
0.05572750000000015;0.050678119157287066;0.9975490196078431;0.09981214010744585
0.0626925000000007;0.05077088455176266;0.9975156862745098;0.09980987584913177
0.06966000000000028;0.05086528699134812;0.9996745098039216;0.0999705276745957
0.07662250000000048;0.050958253238607976;0.9975823529411765;0.09977409079895655
0.0835925000000004;0.051052006865273156;0.9986274509803922;0.09989497237386263
0.09055500000000061;0.051146342333573326;0.9989882352941176;0.09989959324024072
0.09752250000000062;0.05123938362755118;0.9979735294117648;0.09980685987474266
0.10449000000000064;0.05133378652695604;0.9983;0.09983138304133712
0.1114525000000004;0.051426765698634566;0.9986941176470588;0.09986946183007284
0.11842250000000076;0.051520525967223285;0.9986941176470588;0.09986946183007284
0.12538500000000052;0.051614861848887784;0.9978441176470589;0.09979573033535098
0.1323525000000001;0.05170791589522823;0.9967980392156862;0.09968744454987435
0.13932000000000055;0.0518023191856472;0.9977774509803922;0.09978274336896872
0.14628250000000032;0.05189531098902964;0.9962745098039216;0.09963421983635481
0.15325250000000068;0.05198907772061788;0.9946078431372549;0.09948169488052275
0.16021500000000044;0.052083413949069776;0.9925156862745098;0.09929154374012972
0.16718250000000046;0.05217648046062824;0.9946411764705883;0.09946550577589265
0.17414750000000057;0.05227107268269784;0.9947725490196079;0.09947730516469414
0.18111250000000068;0.05236388822850755;0.9945098039215686;0.09945283147078353
0.1880825000000006;0.052457661250528975;0.9949352941176471;0.09949565905244642
0.1950450000000008;0.052551997762542095;0.994771568627451;0.09948287103031646
0.20201250000000037;0.052645076461358964;0.9927460784313726;0.09929213875434849
0.20897750000000004;0.05273966697020844;0.9923529411764707;0.0992399822224438
0.2159425000000006;0.05283249656698846;0.9934627450980392;0.09935865765527073
0.22291250000000096;0.052926275712955106;0.9928107843137255;0.09931552924484172
0.22987500000000072;0.053020612448480726;0.9901637254901962;0.09905254337499292
0.2368425000000003;0.05311370306540517;0.9883333333333334;0.09883411134210081
0.24380750000000084;0.053208291836806754;0.9878764705882352;0.09879809401810158
0.2507725000000005;0.05330113518423179;0.9853911764705883;0.09854406138618163
0.25774250000000043;0.05339492029346911;0.9850333333333333;0.09850831761106313
