Distance_(unit),Gray_Value
1.2452,51.733
1.2468,52.367
1.2484,53.700
1.2499,55.233
1.2515,53.433
1.2531,49.567
1.2546,45.633
1.2562,41.133
1.2577,36.033
1.2593,31.300
1.2609,27.967
1.2624,25.933
1.2640,24.800
1.2655,24.733
1.2671,24.633
1.2687,24.967
1.2702,24.367
1.2718,21.467
1.2734,17.900
1.2749,14.900
1.2765,12.867
1.2780,12.133
1.2796,11.800
1.2812,10.867
1.2827,9.967
1.2843,10.233
1.2859,9.933
1.2874,9.600
1.2890,9.300
1.2905,9.100
1.2921,8.367
1.2937,7.133
1.2952,5.933
1.2968,4.967
1.2984,4.367
1.2999,4.500
1.3015,4.867
1.3030,5.367
1.3046,5.367
1.3062,5.167
1.3077,5.133
1.3093,5.233
1.3109,5.567
1.3124,5.667
1.3140,4.800
1.3155,3.667
1.3171,3.567
1.3187,3.633
1.3202,3.367
1.3218,2.900
1.3234,2.867
1.3249,3.133
1.3265,3.300
1.3280,3.133
1.3296,2.833
1.3312,2.833
1.3327,2.633
1.3343,2.833
1.3359,2.833
1.3374,2.633
1.3390,2.533
1.3405,2.367
1.3421,2.467
1.3437,2.500
1.3452,2.867
1.3468,2.800
1.3484,2.200
1.3499,2.100
1.3515,1.967
1.3530,1.800
1.3546,1.733
1.3562,1.767
1.3577,1.867
1.3593,2.000
1.3609,2.000
1.3624,1.933
1.3640,1.933
1.3655,1.867
1.3671,2.067
1.3687,2.100
1.3702,1.933
1.3718,1.633
1.3734,1.733
1.3749,2.067
1.3765,2.067
1.3780,1.733
1.3796,1.667
1.3812,1.667
1.3827,1.933
1.3843,2.167
1.3859,2.100
1.3874,2.067
1.3890,1.967
1.3905,1.800
1.3921,1.800
1.3937,2.000
1.3952,2.200
1.3968,2.133
1.3984,2.133
1.3999,2.333
1.4015,2.633
1.4030,2.733
1.4046,2.967
1.4062,3.067
1.4077,3.467
1.4093,3.367
1.4109,2.700
1.4124,2.567
1.4140,2.200
1.4155,2.033
1.4171,2.100
1.4187,1.933
1.4202,1.833
1.4218,2.333
1.4234,2.200
1.4249,2.000
1.4265,2.200
1.4280,2.300
1.4296,2.333
1.4312,2.133
1.4327,2.000
1.4343,1.967
1.4359,1.833
1.4374,2.033
1.4390,2.200
1.4405,2.633
1.4421,2.733
1.4437,2.600
1.4452,2.767
1.4468,2.700
1.4484,2.933
1.4499,2.900
1.4515,3.100
1.4530,3.000
1.4546,2.767
1.4562,2.600
1.4577,2.267
1.4593,2.067
1.4609,2.000
1.4624,1.933
1.4640,1.867
1.4655,1.900
1.4671,1.800
1.4687,1.867
1.4702,1.900
1.4718,2.000
1.4733,2.133
1.4749,2.133
1.4765,2.067
1.4780,1.733
1.4796,1.733
1.4812,1.867
1.4827,2.000
1.4843,1.967
1.4858,2.200
1.4874,2.633
1.4890,3.067
1.4905,2.967
1.4921,2.633
1.4937,2.500
1.4952,2.767
1.4968,2.800
1.4983,2.567
1.4999,2.467
1.5015,2.600
1.5030,2.800
1.5046,2.533
1.5062,2.433
1.5077,2.200
1.5093,2.500
1.5108,2.567
1.5124,2.333
1.5140,2.100
1.5155,1.933
1.5171,1.700
1.5187,1.733
1.5202,1.933
1.5218,2.133
1.5233,2.067
1.5249,2.067
1.5265,1.967
1.5280,2.133
1.5296,2.500
1.5312,2.567
1.5327,2.433
1.5343,2.267
1.5358,2.200
1.5374,2.500
1.5390,3.033
1.5405,3.267
1.5421,3.267
1.5437,3.067
1.5452,3.300
1.5468,3.100
1.5483,2.900
1.5499,2.533
1.5515,2.067
1.5530,1.933
1.5546,2.067
1.5562,1.967
1.5577,2.600
1.5593,3.700
1.5608,4.200
1.5624,4.133
1.5640,3.500
1.5655,3.167
1.5671,2.800
1.5687,2.567
1.5702,2.533
1.5718,3.000
1.5733,3.200
1.5749,3.000
1.5765,2.633
1.5780,2.367
1.5796,2.233
1.5812,2.233
1.5827,2.267
1.5843,2.367
1.5858,2.333
1.5874,2.400
1.5890,2.533
1.5905,2.433
1.5921,2.233
1.5937,2.300
1.5952,2.333
1.5968,2.133
1.5983,1.867
1.5999,1.867
1.6015,1.767
1.6030,1.933
1.6046,1.967
1.6062,1.833
1.6077,1.800
1.6093,1.900
1.6108,2.467
1.6124,2.733
1.6140,3.067
1.6155,3.300
1.6171,3.567
1.6187,3.300
1.6202,3.233
1.6218,3.600
1.6233,4.133
1.6249,4.400
1.6265,3.767
1.6280,2.700
1.6296,2.300
1.6312,2.000
1.6327,1.867
1.6343,1.767
1.6358,1.833
1.6374,2.033
1.6390,2.000
1.6405,2.067
1.6421,2.100
1.6437,2.267
1.6452,2.767
1.6468,2.833
1.6483,2.733
1.6499,2.600
1.6515,2.600
1.6530,2.767
1.6546,2.433
1.6562,2.167
1.6577,1.900
1.6593,2.233
1.6608,2.067
1.6624,2.000
1.6640,1.933
1.6655,1.767
1.6671,2.000
1.6687,1.967
1.6702,1.900
1.6718,1.600
1.6733,2.067
1.6749,2.200
1.6765,2.200
1.6780,2.000
1.6796,1.800
1.6811,1.733
1.6827,1.767
1.6843,1.700
1.6858,1.733
1.6874,1.800
1.6890,1.867
1.6905,1.833
1.6921,1.867
1.6936,2.033
1.6952,2.000
1.6968,2.167
1.6983,2.433
1.6999,2.700
1.7015,2.900
1.7030,2.700
1.7046,2.800
1.7061,3.233
1.7077,3.067
1.7093,2.633
1.7108,2.500
1.7124,2.500
1.7140,2.533
1.7155,2.767
1.7171,2.933
1.7186,3.300
1.7202,3.233
1.7218,3.033
1.7233,3.067
1.7249,2.867
1.7265,2.600
1.7280,2.433
1.7296,2.200
1.7311,2.267
1.7327,2.467
1.7343,2.167
1.7358,2.300
1.7374,2.567
1.7390,2.600
1.7405,2.533
1.7421,2.300
1.7436,2.333
1.7452,2.133
1.7468,2.067
1.7483,2.267
1.7499,2.500
1.7515,2.767
1.7530,2.767
1.7546,2.800
1.7561,2.867
1.7577,2.800
1.7593,2.700
1.7608,2.533
1.7624,2.833
1.7640,2.900
1.7655,2.567
1.7671,2.467
1.7686,2.700
1.7702,2.933
1.7718,2.833
1.7733,2.600
1.7749,2.600
1.7765,3.000
1.7780,2.733
1.7796,2.600
1.7811,2.533
1.7827,2.600
1.7843,2.600
1.7858,2.467
1.7874,2.233
1.7890,2.333
1.7905,2.100
1.7921,2.133
1.7936,2.167
1.7952,2.467
1.7968,3.233
1.7983,3.800
1.7999,3.733
1.8015,3.633
1.8030,3.400
1.8046,3.367
1.8061,2.767
1.8077,2.500
1.8093,3.033
1.8108,3.067
1.8124,2.633
1.8140,2.800
1.8155,3.600
1.8171,4.133
1.8186,3.500
1.8202,3.000
1.8218,3.200
1.8233,3.467
1.8249,2.900
1.8265,2.767
1.8280,3.333
1.8296,3.333
1.8311,3.367
1.8327,3.467
1.8343,4.100
1.8358,4.233
1.8374,3.967
1.8390,3.767
1.8405,3.533
1.8421,3.333
1.8436,3.367
1.8452,3.233
1.8468,3.133
1.8483,3.233
1.8499,3.300
1.8515,3.467
1.8530,3.067
1.8546,3.067
1.8561,3.300
1.8577,3.700
1.8593,4.000
1.8608,3.800
1.8624,3.800
1.8640,3.800
1.8655,4.200
1.8671,4.367
1.8686,4.600
1.8702,4.467
1.8718,4.133
1.8733,4.133
1.8749,3.833
1.8765,4.033
1.8780,4.133
1.8796,4.033
1.8811,4.233
1.8827,4.533
1.8843,4.833
1.8858,5.233
1.8874,5.133
1.8889,4.200
1.8905,3.967
1.8921,3.200
1.8936,2.933
1.8952,2.733
1.8968,3.333
1.8983,3.833
1.8999,4.133
1.9014,4.233
1.9030,4.033
1.9046,3.200
1.9061,2.833
1.9077,2.967
1.9093,3.167
1.9108,2.967
1.9124,2.833
1.9139,2.800
1.9155,2.833
1.9171,3.233
1.9186,3.433
1.9202,3.233
1.9218,2.933
1.9233,3.000
1.9249,3.200
1.9264,3.833
1.9280,3.833
1.9296,3.333
1.9311,2.967
1.9327,2.933
1.9343,3.067
1.9358,3.367
1.9374,3.367
1.9389,3.467
1.9405,3.600
1.9421,3.667
1.9436,3.933
1.9452,4.033
1.9468,4.533
1.9483,4.533
1.9499,4.133
1.9514,3.667
1.9530,3.667
1.9546,3.333
1.9561,3.500
1.9577,3.567
1.9593,3.100
1.9608,2.867
1.9624,2.633
1.9639,2.467
1.9655,2.467
1.9671,2.600
1.9686,2.800
1.9702,2.800
1.9718,2.933
1.9733,3.100
1.9749,2.700
1.9764,2.567
1.9780,2.133
1.9796,2.000
1.9811,2.600
1.9827,3.233
1.9843,3.167
1.9858,3.133
1.9874,3.133
1.9889,3.533
1.9905,3.300
1.9921,3.667
1.9936,3.633
1.9952,4.033
1.9968,4.167
1.9983,4.267
1.9999,4.233
2.0014,3.933
2.0030,3.933
2.0046,4.533
2.0061,4.300
2.0077,3.900
2.0093,3.800
2.0108,3.233
